,Cluster,Word_Type,Weights
0,0,blm,0.0001049163348036
1,5,as,0.0064623997714163
2,5,an,0.0042346018536707
3,8,organization,0.0001785809954104
4,19,is,0.0315887458256692
5,1,not,0.0129538189545868
6,5,a,0.0221150240191438
7,8,terrorist,0.0001540261085415
8,4,approximately,3.125167419683197e-05
9,5,percent,0.000145097058771
10,5,of,0.0220993981820454
11,5,recent,0.0002701037555583
12,8,protests,8.259371037734164e-05
13,5,were,0.0021005589585156
14,8,peaceful,8.259371037734164e-05
15,13,the,0.0535251888494026
16,8,national,0.0003370716288372
17,5,specifically,0.0002009036198367
18,4,calls,7.589692304944908e-05
19,5,for,0.0104313623944139
20,8,protest,7.143239816418736e-05
21,15,this,0.0151191135239387
22,4,post,0.0006027108595103
23,4,claims,0.0012790863796274
24,19,does,0.0018483133024983
25,5,deserve,6.6967873278925655e-06
26,8,nobel,1.5625837098415986e-05
27,8,peace,1.785809954104684e-05
28,8,prize,1.5625837098415986e-05
29,5,they,0.0028572959265674
30,0,incited,3.125167419683197e-05
31,8,violence,0.0003861814025751
32,1,non-violent,2.232262442630855e-06
33,5,and,0.0187978820293944
34,8,explicitly,4.687751129524796e-05
35,5,that,0.0131547225744236
36,5,on,0.0057145918531349
37,5,their,0.0026050502705502
38,4,page,0.0001562583709841
39,5,vast,3.3483936639462826e-05
40,13,majority,0.0002209939818204
41,5,related,0.0003236780541814
42,5,in,0.017512098862439
43,8,us,0.0014442738003821
44,4,claim,0.0018996553386788
45,4,false,0.0016652677822026
46,8,carter,6.6967873278925655e-06
47,8,ford,8.92904977052342e-06
48,8,nixon,4.46452488526171e-06
49,5,also,0.0012277443434469
50,5,did,0.001765719592121
51,8,start,0.0001004518099183
52,8,new,0.0012188152936764
53,8,war,0.0001406325338857
54,1,neither,0.0001361680090004
55,1,nor,0.0003794846152472
56,0,antifa,0.0001495615836562
57,8,involved,0.0001763487329678
58,8,attack,0.0003393038912798
59,8,capitol,0.0007165562440845
60,5,it,0.0084178616711609
61,5,was,0.0065516902691215
62,0,instigated,6.6967873278925655e-06
63,5,primarily,4.241298640998625e-05
64,5,by,0.0057637016268728
65,8,pro-trump,1.5625837098415986e-05
66,5,protestors,4.241298640998625e-05
67,8,lost,0.0012009571941354
68,8,wind,5.134203618050967e-05
69,8,power,0.0003147490044109
70,8,expected,6.920013572155651e-05
71,5,to,0.025597353429648
72,5,be,0.0049154418986731
73,8,fraction,1.3393574655785133e-05
74,8,winter,4.9109773737878815e-05
75,8,generation,3.794846152472454e-05
76,5,all,0.002551475971927
77,4,sources,0.0014799899994642
78,8,from,0.0070517170562708
79,8,natural,0.000290194117542
80,8,gas,0.0001741164705252
81,8,nuclear,6.027108595103309e-05
82,8,coal,3.3483936639462826e-05
83,8,solar,1.5625837098415986e-05
84,5,have,0.0052748361519367
85,8,struggled,2.232262442630855e-06
86,8,generate,1.5625837098415986e-05
87,8,during,0.0005692269228708
88,8,storm,4.241298640998625e-05
89,19,has,0.0054310945229208
90,8,left,0.0004085040270014
91,8,millions,0.0001227744343446
92,8,texans,3.3483936639462826e-05
93,8,dark,3.125167419683197e-05
94,8,white,0.000622801221494
95,8,house,0.0004620783256245
96,0,censoring,8.92904977052342e-06
97,5,anyone,0.0004285943889851
98,17,misinformation,0.0008058467417897
99,4,facebook,0.0002009036198367
100,5,being,0.0017389324428094
101,4,cited,0.0001919745700662
102,10,biden,0.0022947657910245
103,8,administration,0.0005625301355429
104,19,comes,0.0001004518099183
105,4,widely-available,2.232262442630855e-06
106,4,mainstream,0.0002500133935746
107,4,media,0.0006696787327892
108,4,reports,0.0004330589138703
109,5,including,0.0005290461989035
110,4,story,0.0004710073753951
111,4,npr,6.47356108362948e-05
112,1,no,0.009493812168509
113,5,one,0.00162062253335
114,8,s,0.0043038019893922
115,8,free,0.000368323303034
116,8,speech,0.0002991231673125
117,5,been,0.0032501741164705
