,Cluster,Word_Type,Weights
297,12,law,0.0007165562440845
298,7,reporter,0.0001317034841152
299,3,asking,9.821954747575764e-05
300,7,person,0.0007165562440845
301,18,if,0.0016362483704484
302,18,she,0.0014911513116774
303,9,vaccinated,0.0010670214475775
304,3,nothing,0.0006183366966087
305,3,do,0.0014063253388574
306,3,must,0.0002120649320499
307,18,or,0.004504705609229
308,16,covid,0.0050605389574441
309,7,regularly,4.464524885261711e-05
310,18,who,0.001910816650892
311,13,clinical,8.48259728199725e-05
312,13,trials,0.000102684072361
313,15,hydroxychloroquine,9.821954747575764e-05
314,13,prevent,0.0003326071039519
315,13,illness,0.0001049163348036
316,18,death,0.0006652142079039
317,3,lacks,9.821954747575764e-05
318,18,full,0.0003460006786077
319,7,context,0.0010045180991838
320,10,mlk's,2.232262442630855e-06
321,18,entire,0.0001406325338857
322,13,cdc's,2.901941175420112e-05
323,18,parent,2.4554886868939407e-05
324,12,agency,9.152276014786506e-05
325,12,united,0.0005893172848545
326,12,states,0.0024956694108612
327,12,department,0.0001406325338857
328,13,health,0.0008147757915602
329,13,human,0.0003035876921977
330,18,services,7.589692304944908e-05
331,3,true,0.000870582352626
332,7,surge,4.01807239673554e-05
333,13,cases,0.0007143239816418
334,7,rising,5.357429862314053e-05
335,3,among,0.0002455488686893
336,10,unvaccinated,0.0003192135292962
337,13,causing,9.152276014786506e-05
338,7,wider,4.46452488526171e-06
339,13,spread,0.0006719109952318
340,7,study,0.0004754719002803
341,7,data,0.0010290729860528
342,7,released,0.0002076004071646
343,3,so,0.0009241566512491
344,3,far,0.000247781131132
345,3,actually,0.0006004785970677
346,7,showed,8.48259728199725e-05
347,3,only,0.0013996285515295
348,13,pregnant,9.375502259049592e-05
349,7,women,0.0003482329410504
350,18,had,0.0011295247959712
351,10,miscarriage,1.3393574655785133e-05
352,7,concluded,2.901941175420112e-05
353,9,vaccinations,0.0001272389592299
354,3,weren't,2.6787149311570265e-05
355,13,safety,0.0002165294569351
356,13,risk,0.0004263621265424
357,3,time,0.000828169366216
358,18,biggest,2.0090361983677695e-05
359,7,source,0.0010893440720038
360,13,infection,0.000392878189903
361,18,our,0.0003571619908209
362,18,whole,6.696787327892565e-05
363,7,community,0.0002567101809025
364,3,referring,0.0001406325338857
365,7,migrants,8.705823526260335e-05
366,7,arriving,2.232262442630855e-06
367,13,virus,0.0006272657463792
368,3,maybe,2.2322624426308556e-05
369,18,there,0.0084468810829151
370,3,different,0.0003281425790667
371,3,simply,0.0002834973302141
372,3,less,0.0003973427147882
373,13,effective,0.0006272657463792
374,12,equal,6.250334839366394e-05
375,7,backwards,8.92904977052342e-06
376,10,instagram,0.0001160776470168
377,7,pulled,9.598728503312675e-05
378,7,support,0.0006161044341661
379,7,twitter,0.000930853438577
380,7,cards,2.2322624426308556e-05
381,7,acquired,1.5625837098415986e-05
382,7,example,0.0002455488686893
383,7,directed,8.259371037734164e-05
384,7,confusing,4.01807239673554e-05
385,13,reported,0.0005335107237887
386,13,efficacy,0.0001160776470168
387,13,preventing,0.0001919745700662
388,13,hospitalization,0.0001339357465578
389,7,overall,8.929049770523421e-05
390,10,superset,2.232262442630855e-06
391,7,bloomberg,2.2322624426308556e-05
392,7,coverage,5.580656106577138e-05
393,7,distinction,1.785809954104684e-05
394,3,clearly,0.0006719109952318
395,10,aoc,0.0001540261085415
396,3,discussed,3.571619908209368e-05
397,7,her,0.0012746218547422
398,7,live,0.0001651874207546
399,7,kara,2.232262442630855e-06
400,10,swisher,2.232262442630855e-06
401,10,choas,2.232262442630855e-06
402,7,fear,9.598728503312675e-05
403,7,moment,4.241298640998625e-05
404,18,at,0.0029778380984695
405,1,says,0.0006518206332482
406,10,insurrectionists,1.785809954104684e-05
407,7,entered,2.901941175420112e-05
408,7,nancy,6.027108595103309e-05
409,3,checking,5.580656106577138e-05
410,7,never,0.0005536010857724
411,7,made,0.0008214725788881
412,12,olympics,2.6787149311570265e-05
413,12,bronze,4.46452488526171e-06
414,12,medal,1.5625837098415986e-05
415,12,game,0.0001071485972462
416,18,against,0.0011161312213154
417,12,spain,2.232262442630855e-06
418,12,european,2.0090361983677695e-05
419,12,beach,3.3483936639462826e-05
420,12,handball,6.6967873278925655e-06
421,7,championships,2.232262442630855e-06
422,7,paragraph,1.3393574655785133e-05
423,7,linked,0.0002366198189188
424,7,article,0.0017367001803668
425,7,itself,0.0003192135292962
426,1,reads,3.125167419683197e-05
427,7,norway,1.785809954104684e-05
428,7,team,0.000120542171902
429,7,fined,4.46452488526171e-06
430,7,federation,1.1161312213154276e-05
431,7,monday,2.4554886868939407e-05
432,7,links,0.0002120649320499
433,7,correct,0.000410736289444
434,7,site,0.0002321552940336
435,7,famous,2.6787149311570265e-05
436,12,tech,3.571619908209368e-05
437,6,whistleblower,1.785809954104684e-05
